applicant.id;area.of.specialization;current.position;PhD.year;years.in.postdoc;first.authored.papers;total.papers;h.index;number.of.grants.exceeding.100K;classes.taught.not.as.TA;gender;ethnicity;number.of.applications;number.of.phone.skype.interviews;number.of.on.campus.interviews;;;;;
62;Ecology/Conservation/Aquatic;Postdoc;2010;6;10;13;8;2;3;F;W;13;1;3;;;;;
63;Ecology;Postdoc;2014;2;8;12;6;0;1;M;W;7;0;2;;;;;
64;Ecology/Behaviour/Thermal Bio;Postdoc;2013;3;19;34;7;1;2;M;W;1;0;0;;;;;
65;Community Ecology/ Urban ecology;Assistant Professor;2011;3;10;17;;1;8;F;W;2;0;0;;;;;
67;Community Ecology;Postdoc;2015;2;10;17;7;0;1;M;W;21;3;0;;;;;
68;evolutionary ecology;Postdoc;2013;3,5;13;22;8;1;2;M;W;18;0;0;;;;;
69;Entomology;Postdoc;2012;4;5;14;6;0;0;M;Asian;15;0;1;;;;;
70;Evolution;Postdoc;2013;4;8;18;10;0;2;F;W;70;4;1;;;;;
71;Evolution/Behavior;Postdoc;2014;2,5;3;9;4;0;2;M;W;;0;0;;;;;
72;Ecology/Macroecology/Global Change;Postdoc;2013;3;4;16;5;1;1;F;W;36;2;3;;;;;
73;Molecular/Microbial ecology;Postdoc;2016;0,5;2;4;1;1;1;F;W;10;0;0;;;;;
74;Ecology/Evolution;Postdoc;2014;2;11;26;14;1;1;F;W;3;0;0;;;;;
75;Paleobiology;Postdoc;2014;2,5;22;30;9;1;1;M;W;21;1;1;;;;;
76;Evolution/genetics;Research Associate;2010;6;14;34;19;0;0;M;W;20;3;3;;;;;
